Year,North America,U.S.,Canada,Mexico,Latin America,Brazil,Argentina,Venezuela,Europe,U.K.,Turkey,France,Russia,Czech Republic,Kazakhstan,Asia,Indonesia,Thailand,Philippines,Malaysia,Taiwan,Vietnam,India,China,Pakistan,Japan,Australia,Africa,South Africa,Egypt,Kenya,Worldwide production,Production outside of Japan
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180651,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5134629,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5640389,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6078282,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723674,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360885,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8093163,
2007,1671040,1334183,302753,34104,149017,62726,69439,16852,806542,277637,161229,262244,0,105432,0,1387333,152681,499246,19359,64941,98569,18461,52402,445647,36027,4226137,148936,145685,145685,0,0,8534690,4308553
2008,1454890,1117409,287395,50086,144671,67246,64808,12617,688282,213400,126596,240444,0,107842,0,1589973,198400,573363,22888,74200,65594,25502,54251,546649,29126,4012388,141447,179167,179167,0,0,8210818,4198430
2009,1231623,869564,319565,42494,138968,63951,62393,12624,507332,127401,72071,207501,0,100359,0,1501436,178581,434827,21234,60709,90795,28014,51151,598521,37604,2792274,96836,102822,102822,0,0,6371291,3579017
2010,1458072,945432,458592,54048,150248,66237,69950,14061,461735,136927,83384,158504,0,82920,0,2027482,264622,629944,28432,65137,117696,30618,75515,769941,45577,3282855,119473,123484,123484,0,0,7623349,4340494
2011,1255735,793363,412776,49596,145486,65969,69739,9778,460270,128106,91664,149813,0,90687,0,2062779,306284,507822,26128,59042,151898,27245,136525,801736,46099,2760028,93675,150840,150840,0,0,6928813,4168785
2012,1776257,1201364,519217,55676,187091,82502,92591,11998,461418,109496,76925,200806,0,74191,0,2565770,409594,881447,30784,71250,166579,22230,192040,749206,42640,3492913,101381,151699,150015,1684,0,8736529,5243616
2013,1857696,1288667,505335,63694,243130,139804,94397,8929,543423,179343,102262,192432,0,69386,0,2642501,428534,842868,35505,64247,169338,31962,173769,858124,38154,3356899,106278,142168,141493,675,0,8892095,5535196
2014,1985503,1334694,579411,71398,261513,161907,96350,3256,616047,172376,131508,225404,13671,72492,596,2648440,420649,724737,41648,74604,199486,34786,147791,962979,41760,3266805,90125,136392,135418,974,0,9004825,5738020
2015,2035078,1336582,590723,107773,253713,173991,76283,3439,658908,190209,115900,228288,32876,91198,437,2577212,368155,625255,49057,74145,182335,44413,158714,1011041,64097,3188444,91616,124104,122298,1806,0,8929075,5740631
2016,2124725,1382246,601716,140763,274129,175901,97768,460,688689,180396,150599,237848,31248,88509,89,2517651,386516,549134,55039,51532,142620,50842,146503,1073372,62093,3166338,90240,112216,110791,1425,0,8973988,5807650
2017,1983795,1263546,571535,148714,324035,197528,125317,1190,779635,144070,279902,233652,31843,90168,0,2556134,396605,523590,61972,54807,117745,41445,153386,1145414,61170,3189556,60942,113414,112997,417,0,9007511,5817955
2018,1928982,1241616,497354,190012,350959,209033,141164,762,773880,129378,257084,248537,39394,99487,0,2570815,197318,588939,46121,48181,93752,52666,160951,1317009,65878,3138751,0,122186,121156,1030,0,8885573,5746822
2019,1855805,1194824,467998,192983,313977,187866,125695,416,776886,147802,251949,224073,54187,98875,0,2570331,172314,570852,54037,58347,97395,50120,116393,1404305,46568,3415864,0,120654,119788,746,120,9053517,5637653